Nom,Niveau,Chemin,X_cm,Y_cm,Z_cm,LenX_cm,LenY_cm,LenZ_cm,Matiere
"🍳Meuble cuisine fixe",0,"🍳Meuble cuisine fixe",19.79,1.3,1.01,161.2,44.0,85.43,"Matière2"
"planche gauche cuisine fixe",1,"🍳Meuble cuisine fixe / planche gauche cuisine fixe",124.79,1.3,2.51,1.5,43.0,67.47,"Texture Bois Plank"
"Planche avant cuisine fixe",1,"🍳Meuble cuisine fixe / Planche avant cuisine fixe",21.29,40.8,2.51,92.4,1.5,67.0,"Plywood_08_1K"
"Planche droite cuisine fixe",1,"🍳Meuble cuisine fixe / Planche droite cuisine fixe",24.6,0.42,1.01,1.5,34.5,68.5,"Texture Bois Plank"
"Porte placard eau",1,"🍳Meuble cuisine fixe / Porte placard eau",124.79,7.3,5.51,33.0,1.94,61.0,""
"Porte placard sous l'évier",2,"🍳Meuble cuisine fixe / Porte placard eau / Porte placard sous l'évier",126.29,40.3,21.19,33.0,1.94,61.0,""
"Portière point d'eau",3,"🍳Meuble cuisine fixe / Porte placard eau / Porte placard sous l'évier / Portière point d'eau",126.29,40.3,43.52,33.0,1.5,61.0,""
"Bouton porte",3,"🍳Meuble cuisine fixe / Porte placard eau / Porte placard sous l'évier / Bouton porte",157.29,40.3,35.01,2.0,0.44,2.0,""
"Plan de travail",1,"🍳Meuble cuisine fixe / Plan de travail",4.59,1.3,69.51,129.2,44.0,1.5,""
"Mitigeur",1,"🍳Meuble cuisine fixe / Mitigeur",114.61,17.16,71.01,21.02,21.02,15.4,""
"Table",1,"🍳Meuble cuisine fixe / Table",24.92,43.8,65.19,82.0,1.5,25.44,""
"Plaque de cuisson",1,"🍳Meuble cuisine fixe / Plaque de cuisson",54.69,12.52,71.01,24.5,24.5,0.3,""
"Jericane eau grise",1,"🍳Meuble cuisine fixe / Jericane eau grise",131.43,14.16,39.93,18.0,25.0,38.0,""
"Jericane eau propre",1,"🍳Meuble cuisine fixe / Jericane eau propre",70.97,13.96,39.95,25.0,14.71,38.0,""
"Évier",1,"🍳Meuble cuisine fixe / Évier",87.26,6.5,54.69,34.06,34.06,17.03,""
"ÉVIER 2",2,"🍳Meuble cuisine fixe / Évier / ÉVIER 2",87.26,6.5,54.69,34.06,34.06,17.03,""
"Planche entré gauche",1,"🍳Meuble cuisine fixe / Planche entré gauche",118.79,3.3,2.04,6.0,1.5,67.47,""
"🔋Étagère Baterie",0,"🔋Étagère Baterie",-8.93,2.8,1.01,33.02,43.0,68.5,""
"Planche gauche étagère",1,"🔋Étagère Baterie / Planche gauche étagère",43.12,2.8,71.01,1.5,41.5,68.5,"Texture Bois Plank"
"Planche bas étagère",1,"🔋Étagère Baterie / Planche bas étagère",-10.62,2.8,37.83,30.0,41.5,1.5,"Texture Bois Plank"
"Batterie",1,"🔋Étagère Baterie / Batterie",20.57,79.35,38.94,20.5,32.4,26.4,""
"Planche droite étagère",1,"🔋Étagère Baterie / Planche droite étagère",-0.62,0.2,1.01,1.5,41.5,68.5,""
"Planche face étagère",1,"🔋Étagère Baterie / Planche face étagère",-0.62,44.8,1.01,33.02,1.5,68.5,"Texture Bois Plank"
"🚐 Véhicule",0,"🚐 Véhicule",-99.01,2.7,-0.48,336.8,174.2,143.56,""
"Murs",1,"🚐 Véhicule / Murs",-1.91,2.7,0.52,243.7,166.2,137.7,""
"Mur gauche",2,"🚐 Véhicule / Murs / Mur gauche",117.12,182.81,0.52,238.7,0.6,137.7,""
"Mur droit",2,"🚐 Véhicule / Murs / Mur droit",-1.91,-25.67,0.52,120.7,0.6,137.7,""
"Gouritères",1,"🚐 Véhicule / Gouritères",-11.91,2.7,0.52,15.0,166.2,137.7,""
"Goutière gauche",2,"🚐 Véhicule / Gouritères / Goutière gauche",-11.91,157.4,0.52,15.0,13.0,137.7,""
"Goutière droite",2,"🚐 Véhicule / Gouritères / Goutière droite",-11.91,2.7,0.52,10.0,13.0,137.7,""
"Roues",1,"🚐 Véhicule / Roues",22.09,2.7,0.52,78.13,166.2,33.05,""
"Roue droite",2,"🚐 Véhicule / Roues / Roue droite",22.09,4.2,0.52,78.0,19.7,33.0,""
"Roue gauche",2,"🚐 Véhicule / Roues / Roue gauche",22.09,150.7,0.52,78.13,19.7,33.05,""
"Portes arrières",1,"🚐 Véhicule / Portes arrières",-99.01,2.7,-0.48,83.1,174.2,138.7,""
"Porte arrière droite",2,"🚐 Véhicule / Portes arrières / Porte arrière droite",-11.91,2.7,0.52,83.1,4.0,138.7,""
"Porte arrière gauche",2,"🚐 Véhicule / Portes arrières / Porte arrière gauche",-11.91,168.9,-0.48,83.1,4.0,138.7,""
"Sol",1,"🚐 Véhicule / Sol",-11.91,2.7,-5.35,253.7,165.6,10.06,""
"Triangle sol droite",2,"🚐 Véhicule / Sol / Triangle sol droite",227.79,2.7,-5.35,14.0,20.0,10.06,""
"Sol véhicule",2,"🚐 Véhicule / Sol / Sol véhicule",-11.91,2.7,-0.48,253.7,165.6,5.86,""
"⚡️Tableau elec",0,"⚡️Tableau elec",-1.91,3.3,71.01,20.0,14.0,28.0,""
"Planche gauche panneau elec",1,"⚡️Tableau elec / Planche gauche panneau elec",16.59,-8.7,71.01,1.5,13.0,28.0,"Texture Bois Plank"
"planche haut tableau elec",1,"⚡️Tableau elec / planche haut tableau elec",-0.41,3.3,95.34,17.0,11.36,0.67,"Texture Bois Plank"
"Placard ouvrant panneau elec",1,"⚡️Tableau elec / Placard ouvrant panneau elec",16.59,16.3,75.19,18.5,2.64,28.0,"Texture Bois Plank"
"Panneau elec",2,"⚡️Tableau elec / Placard ouvrant panneau elec / Panneau elec",14.82,16.3,82.5,15.17,1.0,10.5,""
"Planche face panneau elec",2,"⚡️Tableau elec / Placard ouvrant panneau elec / Planche face panneau elec",-1.91,14.66,71.01,18.5,1.64,28.0,""
"Planche droite tableau elec",1,"⚡️Tableau elec / Planche droite tableau elec",-1.91,-8.7,71.01,1.5,11.36,28.0,"Texture Bois Plank"
"🛞 Passage de roue droite",0,"🛞 Passage de roue droite",17.29,6.17,2.04,88.0,18.57,36.07,""
"17 Vis",1,"🛞 Passage de roue droite / 17 Vis",17.53,6.72,2.62,87.53,18.02,35.49,""
"Vis",2,"🛞 Passage de roue droite / 17 Vis / Vis",40.51,23.69,38.07,0.68,0.68,0.07,""
"Vis",2,"🛞 Passage de roue droite / 17 Vis / Vis",103.52,23.69,38.07,0.68,0.68,0.07,""
"Vis",2,"🛞 Passage de roue droite / 17 Vis / Vis",82.51,23.69,38.07,0.68,0.68,0.07,""
"Vis",2,"🛞 Passage de roue droite / 17 Vis / Vis",61.51,23.69,38.07,0.68,0.68,0.07,""
"Vis",2,"🛞 Passage de roue droite / 17 Vis / Vis",104.38,6.72,38.07,0.68,0.68,0.07,""
"Vis",2,"🛞 Passage de roue droite / 17 Vis / Vis",104.99,24.7,35.39,0.68,0.07,0.68,""
